Antigen,Antigen,Antigen,Antigen,Antigen
"Envelope glycoprotein B","Human herpesvirus 5 (Human cytomegalovirus)","262","562","33"
"Nucleoid-associated protein Lsr2","Mycobacterium leprae","55","188","8"
"Ara h 3","Arachis hypogaea (peanut)","367","735","8"
"Diacylglycerol acyltransferase/mycolyltransferase Ag85B","Mycobacterium leprae","66","70","3"
"Major membrane protein I","Mycobacterium leprae","25","121","2"
"Aggrecan core protein (UniProt:P16112)","Homo sapiens (human)","67","264","17"
"DNA-directed RNA polymerase 132 kDa polypeptide","Camelpox virus","8","63","2"
"DNA-directed RNA polymerase 133 kDa polypeptide","Variola virus (smallpox virus)","10","28","2"
"Anhydromuropeptide permease","Escherichia coli","1","29","2"
"Protein X","Hepatitis B virus (hepatitis B virus (HBV))","141","414","23"
"Asp f 1","Aspergillus fumigatus","38","89","7"
"Signal recognition particle receptor FtsY","Salmonella enterica","1","29","2"
"DNA helicase (UniProt:A0A3B3IU45)","Homo sapiens (human)","108","240","33"
"DNA replication licensing factor MCM4","Homo sapiens (human)","136","334","29"
"DNA helicase (UniProt:A0A3B3ITP6)","Homo sapiens (human)","81","161","26"
"Toxin Rv2653c","Mycobacterium tuberculosis","18","35","3"
"Probable multifunctional mycocerosic acid synthase membrane-associated Mas","Mycobacterium tuberculosis","110","126","6"
"Genome polyprotein","Pegivirus C","11","12","4"
"Other Human respiratory syncytial virus protein","Human respiratory syncytial virus","232","551","17"
"Ankyrin repeat protein M1","Vaccinia virus (vaccinia virus VV)","199","1578","13"
"Protein A56","Vaccinia virus (vaccinia virus VV)","44","206","13"
"mRNA export factor ICP27 homolog","Human gammaherpesvirus 8 (Human herpesvirus 8)","6","7","2"
"Cyn d 1","Cynodon dactylon (Bermuda grass)","142","306","5"
"Cytoadherence linked asexual protein 9","Plasmodium falciparum (malaria parasite P. falciparum)","11","11","1"
"Capsid scaffolding protein","Human herpesvirus 5 (Human cytomegalovirus)","15","16","3"
"Uncharacterized 8.6 kDa protein (UniProt:P20526)","Vaccinia virus (vaccinia virus VV)","14","47","3"
"Tri a 21","Triticum aestivum (Canadian hard winter wheat)","720","2140","111"
"Cell surface-binding protein","Vaccinia virus (vaccinia virus VV)","56","187","14"
"Melanocyte-stimulating hormone receptor","Homo sapiens (human)","32","39","5"
"Protein B14","Vaccinia virus (vaccinia virus VV)","20","65","10"
"Late transcription factor 1","Vaccinia virus (vaccinia virus VV)","106","278","11"
"Protein Vpr","Human immunodeficiency virus 1 (human immunodeficiency virus 1 HIV-1)","12","83","12"
"Myeloid cell surface antigen CD33","Homo sapiens (human)","19","27","9"
"Envelope glycoprotein M","Human herpesvirus 5 (Human cytomegalovirus)","22","25","4"
"Protein I3","Vaccinia virus (vaccinia virus VV)","202","1174","18"
"Knob-associated histidine-rich protein","Plasmodium falciparum (malaria parasite P. falciparum)","6","26","5"
"Botulinum neurotoxin type A","Clostridium botulinum","201","476","24"
"Uncharacterized protein (UniProt:Q7PAP7)","Rickettsia sibirica","1","29","2"
"mRNA-capping enzyme regulatory subunit","Vaccinia virus (vaccinia virus VV)","162","1279","33"
"Nck-associated protein 1-like (UniProt:P55160)","Homo sapiens (human)","155","633","54"
"Other Toxoplasma gondii protein","Toxoplasma gondii","23","87","12"
"P34 probable thiol protease","Glycine max (soybeans)","78","92","3"
"Lipoprotein-releasing system transmembrane protein LolC","Haemophilus influenzae","1","11","1"
"Other Hepatitis B virus (hepatitis B virus (HBV)) protein","Hepatitis B virus (hepatitis B virus (HBV))","35","88","23"
"Putative D-ribose-binding protein","Mycobacterium leprae","3","10","2"
"Non-structural protein 1","Influenza A virus","98","246","49"
"Nuclear export protein","Influenza A virus","56","185","19"
"Large tegument protein deneddylase","Human herpesvirus 5 (Human cytomegalovirus)","90","101","2"
"Ana o 1","Anacardium occidentale (maranon)","70","140","2"
"Acetylcholine receptor subunit alpha (UniProt:P02708)","Homo sapiens (human)","257","792","44"
"50S ribosomal protein L16","Chlamydia trachomatis","10","10","1"
"Immunogenic protein MPT64","Mycobacterium tuberculosis","51","224","26"
"Nucleolar GTP-binding protein 1","Giardia intestinalis (Giardia lamblia)","1","29","2"
"Primase D5","Vaccinia virus (vaccinia virus VV)","103","399","26"
"Glutamate--tRNA ligase 1","Rickettsia prowazekii","1","11","1"
"Protein F12","Vaccinia virus (vaccinia virus VV)","345","2871","24"
"Angiopoietin-1 receptor (UniProt:Q02763)","Homo sapiens (human)","69","161","7"
"Equ c 1","Equus caballus (domestic horse)","88","296","4"
"Inner membrane symporter YicJ","Escherichia coli","1","28","2"
"Envelope glycoprotein G","Human herpesvirus 1","122","125","4"
"Major capsid protein VP1","Human polyomavirus 1 (BK polyomavirus)","16","60","11"
"Protein A6","Vaccinia virus (vaccinia virus VV)","232","2015","22"
"Inner membrane protein YejM","Salmonella enterica","1","11","1"
"2-oxoglutarate dehydrogenase E1 component","Francisella tularensis","1","6","6"
"Envelope glycoprotein B","Human gammaherpesvirus 8 (Human herpesvirus 8)","259","298","5"
"Uncharacterized protein (UniProt:Q5NHT3)","Francisella tularensis","1","6","6"
"Uncharacterized 14.3 kDa protein","Vaccinia virus (vaccinia virus VV)","25","85","4"
"Membrane-associated protein VP24","Zaire ebolavirus (Zaire Ebola virus)","34","308","20"
"Apical membrane antigen 1","Plasmodium falciparum (malaria parasite P. falciparum)","178","290","19"
"Merozoite surface protein 3","Plasmodium falciparum (malaria parasite P. falciparum)","46","107","10"
"Can f 1","Canis lupus (wolf or dog)","78","651","7"
"Serotype 3 fimbrial subunit","Bordetella pertussis","30","47","3"
"Listeriolysin O","Listeria monocytogenes","15","17","3"
"14 kDa fusion protein","Vaccinia virus (vaccinia virus VV)","19","39","7"
"M protein type 1","Streptococcus pyogenes","472","541","15"
"34 kDa maturing seed protein","Glycine max (soybeans)","8","8","2"
"Ole e 1","Olea europaea (common olive)","87","154","7"
"Histone H4","Mus musculus (mouse)","12","12","2"
"Histone H4","Homo sapiens (human)","427","2794","97"
"Lysozyme C","Homo sapiens (human)","59","136","10"
"Hol l 1","Holcus lanatus (velvet grass)","9","9","1"
"60 kDa chaperonin","Mycobacterium parascrofulaceum","1","1","1"
"Hemagglutinin glycoprotein","Measles morbillivirus (Cell-associated subacute sclerosing panencephalitis)","143","180","16"
"Bos d 12","Bos taurus (bovine)","159","334","10"
"Viral late gene transcription factor 2","Vaccinia virus (vaccinia virus VV)","21","83","9"
"Phosphoprotein","Measles morbillivirus (Cell-associated subacute sclerosing panencephalitis)","16","31","6"
"Myosin-9","Homo sapiens (human)","1595","6163","101"
"Actin, cytoplasmic 1 (Fragment) (UniProt:A0A2R8Y793)","Homo sapiens (human)","55","112","20"
"Actin, alpha cardiac muscle 1","Homo sapiens (human)","427","2742","35"
"Actin, cytoplasmic 1 (UniProt:P60709)","Homo sapiens (human)","1444","8669","100"
"Actin, gamma-enteric smooth muscle (UniProt:P63267)","Homo sapiens (human)","488","3713","20"
"Divalent metal cation transporter MntH 1","Pseudomonas aeruginosa","1","12","2"
"Protein B7","Vaccinia virus (vaccinia virus VV)","33","173","8"
"Uncharacterized 9.8 kDa protein","Vaccinia virus (vaccinia virus VV)","12","44","3"
"Chaperone protein DnaK","Chlamydia pneumoniae","4","5","1"
"Receptor protein-tyrosine kinase (UniProt:B4DTR1)","Homo sapiens (human)","68","276","34"
"Intermediate transcription factor 3 large subunit","Vaccinia virus (vaccinia virus VV)","60","178","16"
"Melanocyte protein PMEL","Homo sapiens (human)","431","810","59"
"3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase","Vaccinia virus (vaccinia virus VV)","50","123","11"
"mRNA-decapping protein D10","Vaccinia virus (vaccinia virus VV)","32","119","6"
"Prostatic acid phosphatase","Homo sapiens (human)","41","83","14"
"16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA","Mycobacterium tuberculosis","6","9","2"
"ESAT-6-like protein EsxR","Mycobacterium tuberculosis","32","71","13"
"36 kDa major membrane protein F5","Vaccinia virus (vaccinia virus VV)","40","124","7"
"Other Physeter catodon (sperm whale) protein","Physeter catodon (sperm whale)","16","22","5"
"Myoglobin","Physeter catodon (sperm whale)","12","45","5"
"Serine hydroxymethyltransferase 1","Pseudomonas aeruginosa","1","29","3"
"Uncharacterized protein (UniProt:Q8IM17)","Plasmodium falciparum (malaria parasite P. falciparum)","48","255","1"
"Schlafen-like protein","Vaccinia virus (vaccinia virus VV)","40","226","6"
"Glutamate-1-semialdehyde 2,1-aminomutase","Brucella melitensis","1","33","4"
"Phospholipid transfer protein","Homo sapiens (human)","116","352","32"
"Major core protein 4b","Vaccinia virus (vaccinia virus VV)","91","300","21"
"Uncharacterized protein Rv3403c","Mycobacterium tuberculosis","21","74","16"
"Dau c 1","Daucus carota (carrots)","51","63","2"
"Gly m 4","Glycine max (soybeans)","51","53","4"
"Api g 1","Apium graveolens (celery)","50","50","3"
"Interferon antagonist K1L","Vaccinia virus (vaccinia virus VV)","48","145","16"
"Envelope glycoprotein H","Human gammaherpesvirus 8 (Human herpesvirus 8)","16","27","3"
"Gag-Pro-Pol polyprotein","Primate T-lymphotropic virus 1","88","157","20"
"Triplex capsid protein 2","Human herpesvirus 5 (Human cytomegalovirus)","12","12","1"
"DNA topoisomerase 1","Variola virus (smallpox virus)","2","3","2"
"DNA topoisomerase 1B","Vaccinia virus (vaccinia virus VV)","55","187","9"
"ESAT-6-like protein EsxB","Mycobacterium leprae","18","36","1"
"Surface antigen S","Vaccinia virus (vaccinia virus VV)","47","158","10"
"Vitamin B12 import system permease protein BtuC","Salmonella enterica","1","11","1"
"Melanoma-associated antigen 6 (Fragment)","Homo sapiens (human)","32","84","12"
"Nucleoprotein","Lassa mammarenavirus (Lassa virus)","288","1081","28"
"Serine-repeat antigen protein 5","Plasmodium falciparum (malaria parasite P. falciparum)","120","192","11"
"DNA-directed RNA polymerase subunit beta","Haemophilus influenzae","2","16","2"
"Tripartite terminase subunit 1","Human herpesvirus 5 (Human cytomegalovirus)","37","46","3"
"Protein 9b","Severe acute respiratory syndrome-related coronavirus (Human coronavirus (strain SARS))","33","120","5"
"Ankyrin repeat protein B18","Vaccinia virus (vaccinia virus VV)","68","241","14"
"Protein K1","Human gammaherpesvirus 8 (Human herpesvirus 8)","11","16","2"
"Receptor protein-tyrosine kinase (UniProt:J3QLU9)","Homo sapiens (human)","3","3","3"
"Uncharacterized 7.7 kDa protein","Vaccinia virus (vaccinia virus VV)","8","21","3"
"Pre-glycoprotein polyprotein GP complex","Lassa mammarenavirus (Lassa virus)","315","1529","33"
"Putative C4-dicarboxylate transport protein","Campylobacter jejuni","1","32","3"
"Thymidylate kinase","Vaccinia virus (vaccinia virus VV)","32","103","19"
"Late protein H7","Vaccinia virus (vaccinia virus VV)","23","63","8"
"Keratin, type I cytoskeletal 13","Homo sapiens (human)","476","959","45"
"Keratin, type I cytoskeletal 18","Homo sapiens (human)","1887","11569","143"
"Microneme associated antigen","Plasmodium falciparum (malaria parasite P. falciparum)","41","220","1"
"Rho GDP-dissociation inhibitor 2 (Fragment) (UniProt:F5H3P3)","Homo sapiens (human)","37","113","16"
"Proteasome endopeptidase complex (UniProt:F5GX11)","Homo sapiens (human)","55","146","21"
"Proteasome subunit alpha type-1","Homo sapiens (human)","100","383","32"
"DNA-directed RNA polymerase 19 kDa subunit","Vaccinia virus (vaccinia virus VV)","19","83","6"
"Myosin-11 (UniProt:P35749)","Homo sapiens (human)","496","1551","28"
"Major capsid protein","Human herpesvirus 5 (Human cytomegalovirus)","59","60","4"
"Eukaryotic translation initiation factor 3 subunit D","Homo sapiens (human)","162","770","73"
"Trk system potassium uptake protein TrkA","Haemophilus influenzae","1","11","1"
"Conserved protein (UniProt:P96837)","Mycobacterium tuberculosis","15","45","15"
"Core protein D2","Vaccinia virus (vaccinia virus VV)","24","90","9"
"ADP-heptose--LPS heptosyltransferase 2","Haemophilus influenzae","1","11","1"
"Uncharacterized 8.1 kDa protein","Vaccinia virus (vaccinia virus VV)","11","34","3"
"Protein J5","Vaccinia virus (vaccinia virus VV)","11","47","7"
"Enoyl-[acyl-carrier-protein] reductase [NADH]","Mycobacterium tuberculosis","7","27","5"
"Matrix protein VP40","Marburg marburgvirus (Lake Victoria marburgvirus)","8","169","16"
"Uncharacterized 14.4 kDa protein","Vaccinia virus (vaccinia virus VV)","24","63","5"
"Pre-glycoprotein polyprotein GP complex","Lymphocytic choriomeningitis mammarenavirus (Lymphocytic choriomeningitis virus)","206","651","21"
"Other Bacillus licheniformis protein","Bacillus licheniformis","3","54","6"
"Probable outer membrane protein pmp1","Chlamydia pneumoniae","1","1","1"
"Other Salmonella enterica protein","Salmonella enterica","79","783","35"
"Cyclic di-GMP phosphodiesterase PdeL","Escherichia coli","1","18","3"
"Major viral transcription factor ICP4 homolog","Human herpesvirus 3 (Varicella-zoster virus)","26","114","10"
"Merozoite surface protein 1","Plasmodium falciparum (malaria parasite P. falciparum)","582","1338","52"
"Lamin-B1","Homo sapiens (human)","175","776","66"
"Clustered-asparagine-rich protein","Plasmodium falciparum (malaria parasite P. falciparum)","26","47","1"
"Envelope glycoprotein gp62","Primate T-lymphotropic virus 1","270","662","57"
"Truncated CrmB protein","Vaccinia virus (vaccinia virus VV)","7","19","2"
"Actin, cytoplasmic 1 (Fragment) (UniProt:A0A2R8YGF8)","Homo sapiens (human)","82","160","32"
"Actin, cytoplasmic 2","Homo sapiens (human)","599","3737","52"
"Beta-actin-like protein 2","Homo sapiens (human)","500","3337","22"
"Polycomb group RING finger protein 6","Homo sapiens (human)","10","37","14"
"Candidapepsin-2","Candida albicans","41","66","4"
"Other Human herpesvirus 5 (Human cytomegalovirus) protein","Human herpesvirus 5 (Human cytomegalovirus)","117","155","23"
"Thyroglobulin","Homo sapiens (human)","650","1438","22"
"Gag-Pro polyprotein","Primate T-lymphotropic virus 1","12","14","3"
"Low calcium response E","Chlamydia pneumoniae","8","9","2"
"Interferon antagonist C7","Vaccinia virus (vaccinia virus VV)","27","137","17"
"Conserved protein (UniProt:O53978)","Mycobacterium tuberculosis","8","8","2"
"Heterogeneous nuclear ribonucleoprotein K","Homo sapiens (human)","270","1305","81"
"Fructose-bisphosphate aldolase (UniProt:H3BQN4)","Homo sapiens (human)","242","1070","17"
"Fructose-bisphosphate aldolase (UniProt:J3KPS3)","Homo sapiens (human)","24","24","1"
"Fructose-bisphosphate aldolase A","Homo sapiens (human)","350","695","79"
"Fructose-bisphosphate aldolase A (Fragment) (UniProt:H3BPS8)","Homo sapiens (human)","60","106","21"
"Immunogenic protein MPT70","Mycobacterium tuberculosis","28","91","9"
"NAD-dependent protein deacylase","Salmonella enterica","1","11","1"
"PPE family protein PPE56","Mycobacterium tuberculosis","22","54","17"
"Poxin","Vaccinia virus (vaccinia virus VV)","26","94","4"
"Gly m 6","Glycine max (soybeans)","165","182","6"
"Melanoma-associated antigen 3","Homo sapiens (human)","71","218","56"
"Outer membrane protein P1","Haemophilus influenzae","13","13","1"
"Protein A51","Vaccinia virus (vaccinia virus VV)","41","112","9"
"Nucleoprotein","Rabies lyssavirus (Rabies virus)","4","13","5"
"RNA-directed RNA polymerase catalytic subunit","Influenza A virus","519","2451","80"
"Uncharacterized 11.8 kDa protein","Vaccinia virus (vaccinia virus VV)","8","18","4"
"Der f 1","Dermatophagoides farinae (American house dust mite)","216","391","8"
"Eur m 1","Euroglyphus maynei","40","42","1"
"Nucleoprotein","Brazilian mammarenavirus (Sabia arenavirus)","141","395","8"
"Uncharacterized protein (UniProt:Q4D0M4)","Trypanosoma cruzi","1","2","2"
"Asp f 13","Aspergillus fumigatus","24","39","2"
"Protein L2","Vaccinia virus (vaccinia virus VV)","26","65","6"
"Early transcription factor 70 kDa subunit","Vaccinia virus (vaccinia virus VV)","89","302","22"
"Phosphate transport system permease protein PstA 1","Mycobacterium tuberculosis","15","28","2"
"60 kDa chaperonin (UniProt:P31681)","Chlamydia pneumoniae","7","8","2"
"B1 kinase","Vaccinia virus (vaccinia virus VV)","133","845","15"
"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 (UniProt:E7EP32)","Homo sapiens (human)","29","54","20"
"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 (Fragment)","Homo sapiens (human)","5","5","1"
"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 (UniProt:P62879)","Homo sapiens (human)","95","338","35"
"Envelope protein H3","Variola virus (smallpox virus)","7","35","10"
